time	V(v_comp)	V(v_f)	V(v_ref)
5.002501000000000e-05	9.384869e-01	1.649997e+00	2.160125e+00
5.012501000000000e-05	9.384869e-01	1.649997e+00	2.161110e+00
5.032501000000000e-05	9.384870e-01	1.649997e+00	2.163081e+00
5.072501000000000e-05	9.384870e-01	1.649997e+00	2.167021e+00
5.152501000000000e-05	9.384870e-01	1.649997e+00	2.174891e+00
5.252501000000000e-05	9.384871e-01	1.649997e+00	2.184709e+00
5.352500999999999e-05	9.384871e-01	1.649997e+00	2.194506e+00
5.452500999999999e-05	9.384871e-01	1.649997e+00	2.204282e+00
5.552500999999999e-05	9.384871e-01	1.649997e+00	2.214036e+00
5.652500999999999e-05	9.384872e-01	1.649997e+00	2.223767e+00
5.752500999999998e-05	9.384872e-01	1.649997e+00	2.233476e+00
5.852500999999998e-05	9.384872e-01	1.649997e+00	2.243162e+00
5.952500999999998e-05	9.384872e-01	1.649997e+00	2.252824e+00
6.003002000000000e-05	9.384873e-01	1.649997e+00	2.257695e+00
6.013002000000000e-05	9.384873e-01	1.649997e+00	2.258659e+00
6.033002000000000e-05	9.384873e-01	1.649997e+00	2.260585e+00
6.073002000000000e-05	9.384873e-01	1.649997e+00	2.264436e+00
6.153002000000000e-05	9.384873e-01	1.649997e+00	2.272125e+00
6.253002000000000e-05	9.384874e-01	1.649997e+00	2.281715e+00
6.353002000000000e-05	9.384874e-01	1.649997e+00	2.291280e+00
6.453002000000000e-05	9.384874e-01	1.649997e+00	2.300819e+00
6.553001999999999e-05	9.384874e-01	1.649997e+00	2.310333e+00
6.653001999999999e-05	9.384874e-01	1.649997e+00	2.319821e+00
6.753001999999999e-05	9.384875e-01	1.649997e+00	2.329282e+00
6.853001999999998e-05	9.384875e-01	1.649997e+00	2.338717e+00
6.953001999999998e-05	9.384875e-01	1.649997e+00	2.348124e+00
7.003502000000000e-05	9.384875e-01	1.649997e+00	2.352864e+00
7.013502000000001e-05	9.384875e-01	1.649997e+00	2.353802e+00
7.033502000000001e-05	9.384875e-01	1.649997e+00	2.355677e+00
7.073502000000001e-05	9.384875e-01	1.649997e+00	2.359423e+00
7.153502000000001e-05	9.384875e-01	1.649997e+00	2.366902e+00
7.253502000000001e-05	9.384876e-01	1.649997e+00	2.376226e+00
7.353502000000001e-05	9.384876e-01	1.649997e+00	2.385520e+00
7.453502000000001e-05	9.384876e-01	1.649997e+00	2.394786e+00
7.553502000000000e-05	9.384876e-01	1.649997e+00	2.404022e+00
7.653502000000000e-05	9.384876e-01	1.649997e+00	2.413229e+00
7.753502000000000e-05	9.384876e-01	1.649997e+00	2.422405e+00
7.853501999999999e-05	9.384877e-01	1.649997e+00	2.431551e+00
7.953501999999999e-05	9.384877e-01	1.649997e+00	2.440666e+00
8.004002000000000e-05	9.384877e-01	1.649997e+00	2.445257e+00
8.014002000000000e-05	9.384877e-01	1.649997e+00	2.446165e+00
8.034002000000001e-05	9.384877e-01	1.649997e+00	2.447981e+00
8.074002000000000e-05	9.384877e-01	1.649997e+00	2.451608e+00
8.154002000000001e-05	9.384878e-01	1.649997e+00	2.458847e+00
8.254002000000001e-05	9.384878e-01	1.649997e+00	2.467867e+00
8.354002000000000e-05	9.384878e-01	1.649997e+00	2.476855e+00
8.454002000000000e-05	9.384878e-01	1.649997e+00	2.485810e+00
8.554002000000000e-05	9.384878e-01	1.649997e+00	2.494732e+00
8.654002000000000e-05	9.384878e-01	1.649997e+00	2.503621e+00
8.754001999999999e-05	9.384878e-01	1.649997e+00	2.512476e+00
8.854001999999999e-05	9.384878e-01	1.649997e+00	2.521297e+00
8.954001999999999e-05	9.384879e-01	1.649997e+00	2.530084e+00
9.004502000000000e-05	9.384879e-01	1.649997e+00	2.534508e+00
9.014502000000000e-05	9.384879e-01	1.649997e+00	2.535383e+00
9.034502000000000e-05	9.384879e-01	1.649997e+00	2.537132e+00
9.074502000000000e-05	9.384879e-01	1.649997e+00	2.540626e+00
9.154502000000001e-05	9.384879e-01	1.649997e+00	2.547596e+00
9.254502000000000e-05	9.384879e-01	1.649997e+00	2.556278e+00
9.354502000000000e-05	9.384879e-01	1.649997e+00	2.564923e+00
9.454502000000000e-05	9.384879e-01	1.649997e+00	2.573533e+00
9.554502000000000e-05	9.384879e-01	1.649997e+00	2.582105e+00
9.654501999999999e-05	9.384879e-01	1.649997e+00	2.590641e+00
9.754501999999999e-05	9.384880e-01	1.649997e+00	2.599140e+00
9.854501999999999e-05	9.384880e-01	1.649997e+00	2.607602e+00
9.954501999999998e-05	9.384880e-01	1.649997e+00	2.616026e+00
1.000500000000000e-04	9.384880e-01	1.649997e+00	2.620265e+00
1.001500000000000e-04	9.384880e-01	1.649997e+00	2.621103e+00
1.003500000000000e-04	9.384880e-01	1.649997e+00	2.622779e+00
1.007500000000000e-04	9.384880e-01	1.649997e+00	2.626125e+00
1.015500000000000e-04	9.384880e-01	1.649997e+00	2.632800e+00
1.025500000000000e-04	9.384881e-01	1.649997e+00	2.641108e+00
1.035500000000000e-04	9.384881e-01	1.649997e+00	2.649377e+00
1.045500000000000e-04	9.384881e-01	1.649997e+00	2.657606e+00
1.055500000000000e-04	9.384881e-01	1.649997e+00	2.665796e+00
1.065500000000000e-04	9.384881e-01	1.649997e+00	2.673946e+00
1.075500000000000e-04	9.384881e-01	1.649997e+00	2.682055e+00
1.085500000000000e-04	9.384881e-01	1.649997e+00	2.690123e+00
1.095500000000000e-04	9.384881e-01	1.649997e+00	2.698151e+00
1.100550000000000e-04	9.384881e-01	1.649997e+00	2.702189e+00
1.101550000000000e-04	9.384881e-01	1.649997e+00	2.702987e+00
1.103550000000000e-04	9.384881e-01	1.649997e+00	2.704583e+00
1.107550000000000e-04	9.384881e-01	1.649997e+00	2.707769e+00
1.115550000000000e-04	9.384881e-01	1.649997e+00	2.714121e+00
1.125550000000000e-04	9.384881e-01	1.649997e+00	2.722023e+00
1.135550000000000e-04	9.384881e-01	1.649997e+00	2.729882e+00
1.145550000000000e-04	9.384882e-01	1.649997e+00	2.737700e+00
1.155550000000000e-04	9.384882e-01	1.649997e+00	2.745474e+00
1.165550000000000e-04	9.384882e-01	1.649997e+00	2.753205e+00
